id;valid_from;valid_to
1;Music Indian Rupee Ngultrum;human-resource Ergonomic connect
2;Usability infomediaries deposit;auxiliary Gorgeous Bermuda
3;generating capacitor cross-platform;Computers generate
4;Robust;expedite Open-architected
5;Facilitator Czech Koruna Awesome Rubber Soap;deposit Health
6;cross-platform Towels Outdoors;Tajikistan Nebraska Personal Loan Account
7;Strategist Legacy Balanced;payment capacitor Avon
8;content ADP envisioneer;intuitive invoice architectures
9;Technician;Organized
10;Chicken Mauritania Chilean Peso Unidades de fomento;compressing Barbados Dollar Lake
